situation_id,bystander_id,total_bystanders,remain_bystanders,total_interveners,people_density,time,day_of_the_week,place
58.0,9c,9,4,5,high,9:15 am,saturday,station
25.0,7d,7,2,5,high,7:20 am,friday,public street
68.0,15c,15,3,12,high,6:45 am,saturday,public street
52.0,20b,20,5,15,high,5:45 am,sunday,shop/restaurant
2.0,10,10,7,3,high,5:40 am,sunday,inside bar
14.0,34,34,18,16,high,5:35 am,saturday,public street
38.0,4b,4,1,3,high,5:30 am,saturday,inside bar
51.0,28,28,17,11,low,5:00 am,sunday,inside bar
61.0,15b,15,11,4,low,5:00 am,sunday,inside bar
11.0,9b,9,0,9,high,5:30 am,saturday,public street
66.0,7b,7,6,1,high,5:25 am,friday,inside bar
56.0,7a,7,1,6,high,5:00 am,wednesday,station
44.0,30b,30,17,13,low,4:35 am,friday,inside bar
15.0,2a,2,0,2,high,4:30 am,friday,inside bar
19.0,40,40,16,24,low,4:20 am,sunday,inside bar
18.0,16a,16,6,10,high,4:15 am,sunday,outside bar
79.0,9a,9,0,9,low,4:40 am,sunday,inside bar
36.0,12a,12,1,11,high,3:55 am,wednesday,public street
67.0,26b,26,10,16,low,3:45 am,sunday,outside bar
64.0,57,57,41,16,low,3:45 am,friday,inside bar
70.0,2c,2,0,2,high,3:40 am,saturday,inside bar
59.0,5a,5,0,5,high,3:30 am,sunday,inside bar
39.0,24a,24,12,12,low,3:30 am,sunday,inside bar
35.0,22a,22,8,14,low,3:05 am,saturday,outside bar
21.0,20a,20,2,18,high,3:00 am,monday,inside bar
28.0,76,76,65,11,low,3:55 am,saturday,inside bar
77.0,5d,5,3,2,high,3:50 am,saturday,outside bar
37.0,7c,7,1,6,high,3:45 am,saturday,shop/restaurant
26.0,5c,5,0,5,high,3:30 am,sunday,outside bar
34.0,11,11,5,6,high,11:45 pm,monday,station
47.0,23,23,6,17,low,10:45 pm,friday,inside bar
10.0,22b,22,9,13,high,9:20 pm,friday,public street
16.0,1,1,0,1,high,8:15 pm,tuesday,shop/restaurant
5.0,15a,15,2,13,low,2:50 am,friday,inside bar
6.0,42,42,31,11,low,2:30 am,sunday,inside bar
32.0,24b,24,22,2,low,2:30 am,saturday,inside bar
30.0,26a,26,7,19,high,2:30 am,sunday,outside bar
29.0,18b,18,13,5,low,2:30 am,sunday,inside bar
40.0,17,17,5,12,low,2:10 am,friday,inside bar
31.0,6,6,1,5,high,2:40 am,thursday,outside bar
24.0,8,8,3,5,high,2:20 am,friday,inside bar
41.0,3,3,0,3,high,6:00 pm,tuesday,shop/restaurant
55.0,31,31,13,18,high,7:30 pm,monday,public street
54.0,12b,12,0,12,low,7:15 pm,friday,shop/restaurant
48.0,19,19,14,5,high,5:00 pm,friday,other
69.0,20c,20,8,12,high,3:00 pm,monday,public street
17.0,16b,16,0,16,low,1:15 pm,thursday,inside bar
3.0,2b,2,0,2,high,11:40 am,sunday,shop/restaurant
43.0,44,44,34,10,high,10:20 am,friday,station
45.0,4a,4,0,4,high,1:40 am,sunday,station
12.0,13,13,1,12,high,1:35 am,friday,public street
65.0,4c,4,1,3,low,1:30 am,friday,inside bar
53.0,30a,30,12,18,low,1:25 am,sunday,inside bar
27.0,18a,18,6,12,low,1:15 am,saturday,inside bar
42.0,14,14,4,10,low,1:00 am,sunday,outside bar
75.0,5b,5,2,3,high,12:00 am,wednesday,shop/restaurant